fips,county_name,pcp_rate_per_100k,pcp_ratio,mental_health_provider_rate_per_100k,mental_health_provider_ratio,dentist_rate_per_100k,dentist_ratio,uninsured_pct,preventable_hospitalization_rate,child_poverty_pct,life_expectancy_years,median_household_income,rural_pct,population,hpsa_active_count,hpsa_max_score,hpsa_underserved_population,heart_disease_pct,asthma_pct,depression_pct,diabetes_pct,fair_or_poor_health_pct,frequent_mental_distress_pct,high_blood_pressure_pct,no_physical_activity_pct,obesity_pct,annual_checkup_pct,heart_disease_pct_source_type,asthma_pct_source_type,depression_pct_source_type,diabetes_pct_source_type,fair_or_poor_health_pct_source_type,frequent_mental_distress_pct_source_type,high_blood_pressure_pct_source_type,no_physical_activity_pct_source_type,obesity_pct_source_type,annual_checkup_pct_source_type
48001,Anderson,37.669940000000004,2655:1,62.352779999999996,1604:1,46.50041,2151:1,17.659562566,3528.0,24.6,72.02778967,56548,67.861952281,57736,2,11.0,1490.0,6.4,9.9,22.1,13.0,24.6,18.8,37.0,30.1,39.5,71.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48003,Andrews,48.806940000000004,2049:1,16.07372,6221:1,21.81739,4584:1,22.871268998,3684.0,13.2,74.567687888,80936,18.318108544,18664,2,16.0,4299.0,5.9,9.5,21.8,12.9,25.6,17.9,32.6,31.5,36.6,71.3,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48005,Angelina,65.89138,1518:1,164.91255999999998,606:1,58.55271,1708:1,19.635295627,3332.0,24.9,72.625754877,57298,51.905781585,87319,1,16.0,21964.0,6.6,11.1,24.9,13.0,27.5,20.6,37.9,32.5,41.0,73.3,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48007,Aransas,32.63974,3064:1,94.58501,1057:1,28.062859999999997,3563:1,20.601707855,1640.0,27.9,73.277614823,60112,23.57532522,25374,1,14.0,15141.0,5.8,10.0,24.3,11.4,22.0,18.3,33.5,27.6,36.4,72.4,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48009,Archer,,,11.075420000000001,9029:1,,,16.743251005,2705.0,12.6,77.68035339,71672,87.359813084,9029,1,15.0,8663.0,5.5,10.3,25.3,9.9,19.1,19.0,31.7,24.7,34.7,72.3,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48011,Armstrong,0.0,1839:0,,,0.0,1850:0,11.554621849,1964.0,15.3,69.665646211,68555,100.0,1832,1,11.0,1829.0,5.1,10.1,24.8,9.4,17.2,18.4,30.4,22.8,33.3,72.6,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48013,Atascosa,20.02443,4994:1,65.65735,1523:1,47.18465,2119:1,20.205056507,2184.0,22.6,73.957045693,58330,71.452195749,51784,2,18.0,19892.0,5.9,9.2,21.0,14.0,26.2,17.6,34.6,34.5,42.2,71.8,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48015,Austin,19.74984,5063:1,44.1961,2263:1,45.02042,2221:1,19.082433154,2635.0,18.0,76.476312991,73248,78.834488017,31677,1,16.0,9742.0,5.8,10.1,23.2,11.8,22.4,18.4,33.4,28.6,37.5,72.1,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48017,Bailey,29.26116,3418:1,44.96403,2224:1,44.25431,2260:1,26.584317938,3549.0,23.4,74.496679764,51193,25.275202781,6672,1,13.0,4198.0,6.3,9.5,21.6,14.3,28.5,18.2,33.4,36.0,39.5,71.0,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48019,Bandera,32.46,3081:1,194.37205,514:1,27.13091,3686:1,19.454603786,1426.0,18.6,76.861617201,66649,100.0,22637,1,17.0,6266.0,5.7,10.2,24.9,10.8,20.0,18.4,31.9,26.8,35.4,72.6,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48021,Bastrop,23.51604,4252:1,74.92462,1335:1,35.78559,2794:1,20.762459991,2895.0,16.2,76.747985087,77345,72.004608295,110778,2,18.0,46811.0,5.7,9.5,22.2,12.0,23.2,17.6,33.1,30.8,40.1,71.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48023,Baylor,230.08341,435:1,,,28.8517,3466:1,16.56649136,4938.0,22.5,70.081485494,49566,100.0,3463,1,16.0,1185.0,6.3,10.6,25.7,11.6,23.1,19.8,34.2,28.6,36.5,71.8,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48025,Bee,16.16867,6185:1,51.863859999999995,1928:1,29.611109999999996,3377:1,16.011089026,3334.0,28.2,73.060614952,54072,54.166264051,30850,1,16.0,5927.0,6.3,8.7,19.3,14.6,27.1,17.2,35.6,33.5,39.5,70.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48027,Bell,72.17801,1385:1,278.99784999999997,358:1,83.93711,1191:1,16.420400167,2945.0,15.7,75.514008341,69562,13.69065445,393193,1,17.0,102005.0,5.6,10.7,24.4,13.0,22.5,18.6,34.1,29.8,43.5,76.1,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48029,Bexar,73.56146,1359:1,247.64344000000003,404:1,95.07023,1052:1,17.96452341,2435.0,19.1,76.146428629,69755,4.7076529221,2087679,9,21.0,9833883.0,5.4,9.0,22.0,13.8,22.8,16.7,33.5,30.7,34.2,72.0,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
